NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A, ,,,,,39,1
BAGeL Radio,A,The Magnetic Fields,'83: Foxx and I -50 Song Memoir,,,,104,1
BAGeL Radio,A,Birdmonster,'Cause You Can -No Midnight,,,,72,1
BAGeL Radio,A,Jade Hairpins,(Don't Break My) Devotion -Harmony Avenue,,,,229,2
BAGeL Radio,A,The Stranglers,(Get a) Grip (on Yourself) -Rattus Norvegicus,,,,94,1
BAGeL Radio,A,Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea -This Year's Model,,,,91,1
BAGeL Radio,A,Ramases & Selket,(In My) Mind's Eye -Eiderdown Mindfog &#8211; Rubble Collection 19,,,,93,1
BAGeL Radio,A,Ramases & Selket,(In My) Mind's Eye -Eiderdown Mindfog – Rubble Collection 19,,,,80,1
BAGeL Radio,A,Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem) -Teens of Denial,,,,142,1
BAGeL Radio,A,Stray Cats,(She's) Sexy + 17 -Rant n' Rave with the Stray Cats,,,,237,2
BAGeL Radio,A,Heaven 17,(We Don't Need This) Fascist Groove Thang -Penthouse And Pavement,,,,167,1
BAGeL Radio,A,BOAT,(to all the) Sweaty People -Tread Lightly,,,,207,2
BAGeL Radio,A,What's The Matter Here?,"10,000 Maniacs-In My Tribe",,,,103,1
BAGeL Radio,A,Los Blancos,100 AD -Detholiad O Ganeuon Traddodiadol Cymreig [EP],,,,71,1
BAGeL Radio,A,Wiley,100% Publishing -100% Publishing,,,,157,1
BAGeL Radio,A,Redd Kross,1976 -Third Eye,,,,102,1
BAGeL Radio,A,Kitten Forever,200x -7 Hearts,,,,97,1
BAGeL Radio,A,Gap Dream,24 Hour Token -This Is Gap Dream,,,,93,1
BAGeL Radio,A,GRMLN,27 Kids -Discovery [EP],,,,83,1
BAGeL Radio,A,Melenas,3 Segundos -Dias Raros,,,,652,5
BAGeL Radio,A,School of Fish,3 Strange Days (LP Version) -3 Strange Days (Single),,,,242,2
BAGeL Radio,A,Cat Power,"3,6,9 -Sun",,,,193,1
BAGeL Radio,A,Purling Hiss,3000 AD -High Bias,,,,88,1
BAGeL Radio,A,House of Wolves,50's -Fold in the Wind,,,,99,1
BAGeL Radio,A,Terrene,51 -The Indifferent Universe,,,,145,1
BAGeL Radio,A,Sneaker Pimps,6 Underground -Becoming X,,,,171,1
BAGeL Radio,A,1000 Lights,666 Miles to Memphis -Häxan,,,,114,1
BAGeL Radio,A,R.E.M.,7 Chinese Bros. -Reckoning,,,,125,1
BAGeL Radio,A,Apples In Stereo,7 Stars -New Magnetic Wonder,,,,176,1
BAGeL Radio,A,kole&#380;anka,7th st/ 7th ave -Place Is,,,,114,1
BAGeL Radio,A,koleżanka,7th st/ 7th ave -Place Is,,,,83,1
BAGeL Radio,A,Tim Kasher,A Bluer Sea -Bigamy: More Songs From The Monogamy Sessions,,,,147,1
BAGeL Radio,A,Mudhoney,A Brief Celebration of Indifference -Under a Billion Suns,,,,104,1
BAGeL Radio,A,Tom Vek,A Chore -Leisure Seizure,,,,189,1
BAGeL Radio,A,Sharon Van Etten,A Crime -Epic,,,,116,1
BAGeL Radio,A,Elliott Smith,A Distorted Reality Is Now A Necessity To Be Free -From A Basement On The Hill,,,,107,1
BAGeL Radio,A,Rykarda Parasol,A Drinking Song -For Blood and Wine,,,,84,1
BAGeL Radio,A,Tangled Heart [EP],A Dull Boy  - Papercuts,,,,246,2
BAGeL Radio,A,Papercuts,A Dull Boy -Tangled Heart [EP],,,,534,5
BAGeL Radio,A,Malka,A Flock Of Crows -The Constant State,,,,174,1
BAGeL Radio,A,Elliott Smith,A Fond Farewell -From A Basement On The Hill,,,,179,1
BAGeL Radio,A,Edwyn Collins,A Girl Like You (LP Version) -Gorgeous George,,,,99,1
BAGeL Radio,A,Sugar,A Good Idea -Copper Blue,,,,106,1
BAGeL Radio,A,James Husband,A Grave In The Gravel -A Parallax I,,,,75,1
BAGeL Radio,A,Fontaines D.C.,A Hero's Death (Radio Mix) -A Hero's Death,,,,215,2
BAGeL Radio,A,Conor Oberst,A Little Uncanny -Ruminations,,,,97,1
BAGeL Radio,A,The Regrettes,A Living Human Girl -Feel Your Feelings Fool!,,,,80,1
BAGeL Radio,A,A Hero's Death,A Lucid Dream  - Fontaines D.C.,,,,374,3
BAGeL Radio,A,Fontaines D.C.,A Lucid Dream -A Hero's Death,,,,78,1
BAGeL Radio,A,Pronoun,A Million Other Things -There's No One New Around You,,,,133,1
BAGeL Radio,A,Swan Lake,A Venue Called Rubella -Beast Moans,,,,105,1
