NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A, ,,,,,39,1
BAGeL Radio,A,  ,,,,,53,1
BAGeL Radio,A,Pink Lunettes, 9  - POND,,,,110,1
BAGeL Radio,A,Are Everything, A Different Kind of Tension  - The Buzzcocks,,,,101,1
BAGeL Radio,A,I Was Not Born, A Hero's Death  - Fontaines D.C.,,,,90,1
BAGeL Radio,A,This Fractured Mind, A Way Forward  - Nation Of Language,,,,129,1
BAGeL Radio,A,Dead Man's Gun, A Weird Exits  - Thee Oh Sees,,,,109,1
BAGeL Radio,A,What Comes At The End, Advice From The Happy Hippopotamus  - Cloud Cult,,,,104,1
BAGeL Radio,A,Quit Fucking Around, All Change [EP]  - Francis of Delirium,,,,87,1
BAGeL Radio,A,What It Is, All Mirrors  - Angel Olsen,,,,87,1
BAGeL Radio,A,Alsatian, Alsatian (promo single)  - White Rose Movement,,,,152,1
BAGeL Radio,A,Parlovr, Amaze-Me-Jane,,,,65,1
BAGeL Radio,A,Submachine Drum, Ammunition Teeth  - Exray's,,,,101,1
BAGeL Radio,A,Haven't You Got The Time? (tedit), At Your Leisure  - Clearance,,,,95,1
BAGeL Radio,A,Depends On What I Know, Barnyard  - Good Morning,,,,71,1
BAGeL Radio,A,Yng_Shldn, Barnyard  - Good Morning,,,,131,1
BAGeL Radio,A,Fly on the Wall, Bazaar  - Wampire,,,,107,1
BAGeL Radio,A,Boys Will Be Boys, Beware of the Dogs  - Stella Donnelly,,,,139,1
BAGeL Radio,A,Paycheck, Break  - Slingshot Dakota,,,,135,1
BAGeL Radio,A,Girl Don't Tell Me, Bright People  - Oceanics,,,,88,1
BAGeL Radio,A,The Fall, British People In Hot Weather,,,,43,1
BAGeL Radio,A,Freak Scene, Bug  - Dinosaur Jr.,,,,91,1
BAGeL Radio,A,Half-Lives, Candy Cigarette  - Boy In Static,,,,127,1
BAGeL Radio,A,Strasbourg, Capture/Release  - The Rakes,,,,98,1
BAGeL Radio,A,Ode To LRC, Cease To Begin  - Band of Horses,,,,92,1
BAGeL Radio,A,Down The Line, Celestial Electric  - AM & Shawn Lee,,,,93,1
BAGeL Radio,A,Chaise Longue, Chaise Longue  - Wet Leg,,,,77,1
BAGeL Radio,A,Favourite Colour, Champ  - Tokyo Police Club,,,,91,1
BAGeL Radio,A,Witch Window, City Of Quartz  - Nick Diamonds,,,,116,1
BAGeL Radio,A,Home Recording, Cold Spring Fault Less Youth  - Mount Kimbie,,,,116,1
BAGeL Radio,A,Strangest Things, Color Of Sunshine  - Field Notes,,,,96,1
BAGeL Radio,A,Lala Lala, Color Of The Pool -  I Want The Door To Open ,,,,79,1
BAGeL Radio,A,Hertz, Comfort To Me  - Amyl and The Sniffers,,,,103,1
BAGeL Radio,A,Last Thing, Coriky  - Coriky,,,,96,1
BAGeL Radio,A,Blow Me A Kiss, Creases  - Sink Tapes,,,,76,1
BAGeL Radio,A,Cockroach, Crimes of Passion  - Crocodiles,,,,83,1
BAGeL Radio,A,Bleached Out Soda Pop, Crimewave  - Port Juvee,,,,100,1
BAGeL Radio,A,Dark Days, Dark Days b/w Peanuts  - Yard Act,,,,170,1
BAGeL Radio,A,Decent Days And Nights, Decent Days And Nights (Phones Bad Acid remix)  - The Futureheads,,,,113,1
BAGeL Radio,A,Noi Vogliamo, Detholiad O Ganeuon Traddodiadol Cymreig [EP]  - Los Blancos,,,,101,1
BAGeL Radio,A,WishFulfillment, Dirty  - Sonic Youth,,,,143,1
BAGeL Radio,A,Artists In Exile, Discontinued Perfume  - The Caribbean,,,,102,1
BAGeL Radio,A,Arctic Monkeys, Do I Wanna Know?,,,,60,1
BAGeL Radio,A,It's Too Late To Go To Bed, Dos  - The Parrots,,,,106,1
BAGeL Radio,A,You Work All Day And Then You Die, Dos  - The Parrots,,,,90,1
BAGeL Radio,A,Tom Brosseau, Down On Skid Row,,,,53,1
BAGeL Radio,A,Valor, Down To Sea Level  - Lucy Bland,,,,99,1
BAGeL Radio,A,Pela, Drop Me Off,,,,42,1
BAGeL Radio,A,The Rat Patrol And DJs, Dual Hawks  - Centro-Matic,,,,89,1
BAGeL Radio,A,Ceremonies Of Waste, Dudu  - B Boys,,,,92,1
BAGeL Radio,A,Chemical, E.P.  - Pacific UV,,,,108,1
BAGeL Radio,A,Now Now Here and Now, El Futuro  - Fantastic,,,,71,1
BAGeL Radio,A,Running Back, Emphatically Mo' (b-sides)  - Cheekface,,,,83,1
BAGeL Radio,A,Sweet Dreaming, Energy You EP  - Roman Remains,,,,102,1
BAGeL Radio,A,I Could Have Done This Myself, Falling Off The Lavender Bridge  - Lightspeed Champion,,,,86,1
BAGeL Radio,A,Fantasy Island, Fantasy Island  - Clinic,,,,124,1
BAGeL Radio,A,Grand Finale, Fantasy Island  - Clinic,,,,74,1
BAGeL Radio,A,Take A Chance, Fantasy Island  - Clinic,,,,79,1
BAGeL Radio,A,Preoccupation, Fast Idol   - Black Marble,,,,95,1
BAGeL Radio,A,If I Could Choose, Feels So Good // Feels So Bad  - The Shivas,,,,108,1
BAGeL Radio,A,Cicada, Floating Features  - La Luz,,,,92,1
BAGeL Radio,A,Telegram, Follow,,,,61,1
BAGeL Radio,A,Diamond Ring, From the Decker House  - The Rosewood Thieves,,,,91,1
BAGeL Radio,A,Kangaroo Heart, Fur  - Archie Bronson Outfit,,,,93,1
BAGeL Radio,A,Laughing Girl!, Future Sounds  - Sunbears!,,,,134,1
BAGeL Radio,A,Bogie, Gadzooks Vol. 1   - Caleb Landry Jones,,,,98,1
BAGeL Radio,A,Easier 2 Say, Getting Stranger  - Grady Strange,,,,102,1
BAGeL Radio,A,She's Lost, Ghosts  - The Vickers,,,,108,1
BAGeL Radio,A,Global A Go-Go, Global A Go-Go  - Joe Strummer & The Mescaleros,,,,130,1
BAGeL Radio,A,Ghost Pigeon, Guilty Rainbow  - Roommate,,,,101,1
BAGeL Radio,A,X.T.Y., Gymnastics  - Sneaks,,,,78,1
BAGeL Radio,A,Before We Begin, Haha Sound  - Broadcast,,,,117,1
BAGeL Radio,A,Motherfucker," Half In, Half Out  - The Kundalini Genie",,,,95,1
BAGeL Radio,A,"I Kill Your Love, Baby!", Hearts  - I Break Horses,,,,116,1
BAGeL Radio,A,She's My Best Friend, Heaven & Hell &#8211; A Tribute To The Velvet Underground (Volume One)  - The Wedding Present,,,,101,1
BAGeL Radio,A,She's My Best Friend, Heaven & Hell – A Tribute To The Velvet Underground (Volume One)  - The Wedding Present,,,,69,1
BAGeL Radio,A,Heaven Beats Iowa, Heaven Beats Iowa [EP]  - Cub Scout Bowling Pins,,,,77,1
BAGeL Radio,A,Lucy, Hello Love / Goodbye Sexual  - Young Things,,,,95,1
BAGeL Radio,A,The Lottery, High Dive  - Little Beirut,,,,93,1
BAGeL Radio,A,Your Ghost, Hips & Makers  - Kristin Hersh,,,,93,1
BAGeL Radio,A,Gingerale Afternoon ( The Astrology Of A Saturday), Hit To Death In The Future Head  - The Flaming Lips,,,,91,1
BAGeL Radio,A,PepsiCoke Suicide, Holo Pleasures / California Dreamin'  - Elvis Depressedly,,,,90,1
BAGeL Radio,A,Real Thing, Holy Heatwave  - Lady Legs,,,,76,1
BAGeL Radio,A,The Opener, How to Socialise & Make Friends  - Camp Cope,,,,93,1
